category	file	line	token
identifier	.github/workflows/backup.yml	19	milo-backup.tar.gz.enc
identifier	.github/workflows/backup.yml	130	milo-backup.tar.gz
identifier	.github/workflows/backup.yml	139	milo-backup.tar.gz
identifier	.github/workflows/backup.yml	139	milo-backup.tar.gz.enc
identifier	.github/workflows/backup.yml	140	milo-backup.tar.gz
identifier	.github/workflows/backup.yml	141	milo-backup.tar.gz.enc
identifier	.github/workflows/backup.yml	145	milo-backup.tar.gz.enc
identifier	.github/workflows/backup.yml	152	milo-db-backup-
identifier	.github/workflows/backup.yml	153	milo-backup.tar.gz.enc
visible	CLAUDE.md	64	Milo
identifier	CLAUDE.md	249	radlor.com
visible	docs/app-terms-of-service.md	1	Milo
visible	docs/app-terms-of-service.md	11	Milo
url-domain	docs/app-terms-of-service.md	11	adaptivelearn.radlor.com
identifier	docs/app-terms-of-service.md	82	support@radlor.com
visible	docs/app-terms-of-service.md	98	Milo
identifier	docs/app-terms-of-service.md	98	adaptive learning
identifier	docs/app-terms-of-service.md	118	support@radlor.com
identifier	docs/app-terms-of-service.md	199	support@radlor.com
visible	docs/app-terms-of-service.md	230	Milo
identifier	docs/app-terms-of-service.md	319	support@radlor.com
identifier	docs/app-terms-of-service.md	348	support@radlor.com
visible	docs/architecture.md	1	Milo
identifier	docs/backup-restore-runbook.md	54	backup-artifact/milo-db-backup-
identifier	docs/backup-restore-runbook.md	54	/milo-backup.tar.gz.enc
visible	docs/billing-stage-1.md	31	MILO
visible	docs/billing-stage-2.md	167	MILO
visible	docs/devops.md	3	Milo
identifier	docs/devops.md	488	adaptivelearn-git-main-
url-domain	docs/devops.md	489	adaptivelearn.radlor.com
mascot	docs/framing-12-18.md	3	Milo
mascot	docs/framing-12-18.md	16	Milo
mascot	docs/framing-12-18.md	21	Milo
mascot	docs/framing-12-18.md	32	Milo
identifier	docs/framing-12-18.md	42	--milo-orange
mascot	docs/framing-12-18.md	63	MiloMark
identifier	docs/framing-12-18.md	74	illustrated-Milo
historical	docs/handoff-archive.md	3	https://adaptivelearn.radlor.com/sw.js
historical	docs/handoff-archive.md	49	https://adaptivelearn.radlor.com/sw.js
historical	docs/handoff-archive.md	77	radlor.com
historical	docs/handoff-archive.md	84	../milo-lesson-art
historical	docs/handoff-archive.md	84	https://adaptivelearn.radlor.com/sw.js
historical	docs/handoff-archive.md	116	https://adaptivelearn.radlor.com/sw.js
historical	docs/handoff-archive.md	119	Milo
historical	docs/handoff-archive.md	148	../milo-newflow
historical	docs/handoff-archive.md	175	milo-story-mode
historical	docs/handoff-archive.md	175	adaptivelearn
historical	docs/handoff-archive.md	175	adaptivelearn.radlor.com
historical	docs/handoff-archive.md	175	/v13/deployments/adaptivelearn.radlor.com
historical	docs/handoff-archive.md	183	../milo-newflow
historical	docs/handoff-archive.md	219	radlor.com
historical	docs/handoff-archive.md	259	adaptivelearn.radlor.com
historical	docs/handoff-archive.md	317	Milo
historical	docs/handoff-archive.md	459	radlor.com
historical	docs/handoff-archive.md	481	Milo
historical	docs/handoff-archive.md	500	radlor.com
historical	docs/handoff-archive.md	505	radlor.com
historical	docs/handoff-archive.md	589	MILO
historical	docs/handoff-archive.md	601	useMiloSpeaker.ts
historical	docs/handoff-archive.md	604	Milo
historical	docs/handoff-archive.md	820	admin@radlor.com
historical	docs/handoff-archive.md	827	MILO
historical	docs/handoff-archive.md	892	milo-story-mode
historical	docs/handoff-archive.md	953	Milo
historical	docs/handoff-archive.md	959	sessionStorage.milo_active_learner
historical	docs/handoff-archive.md	967	milo-dev
historical	docs/handoff-archive.md	1071	__miloSpeech
historical	docs/handoff-archive.md	1096	Milo
historical	docs/handoff-archive.md	1107	useMiloSpeaker.ts
historical	docs/handoff-archive.md	1107	window.__miloSpeech
historical	docs/handoff-archive.md	1107	Milo
historical	docs/handoff-archive.md	1108	__miloSpeech
historical	docs/handoff-archive.md	1121	Milo
historical	docs/handoff-archive.md	1144	Milo
historical	docs/handoff-archive.md	1145	Milo
historical	docs/handoff-archive.md	1178	__miloSpeech
historical	docs/handoff-archive.md	1181	__miloSpeech
historical	docs/handoff-archive.md	1210	MILO
historical	docs/handoff-archive.md	1249	Milo
historical	docs/handoff-archive.md	1375	Milo
historical	docs/handoff-archive.md	1381	milo-chres-
historical	docs/handoff-archive.md	1417	Milo
historical	docs/handoff-archive.md	1805	Milo
historical	docs/handoff-archive.md	2194	milo.sink
historical	docs/handoff-archive.md	2195	milo.client-error
historical	docs/handoff-archive.md	2258	MILO
historical	docs/handoff-archive.md	2334	radlor.com
historical	docs/handoff-archive.md	2358	https://adaptivelearn.radlor.com
historical	docs/handoff-archive.md	2450	Milo
historical	docs/handoff-archive.md	2460	Milo
historical	docs/handoff-archive.md	2591	Milo
historical	docs/handoff-archive.md	2820	Milo
historical	docs/handoff-archive.md	2856	milo_beads.png
historical	docs/handoff-archive.md	2917	Milo
historical	docs/handoff-archive.md	2919	Milo
historical	docs/handoff-archive.md	2929	window.__miloPace
historical	docs/handoff-archive.md	2957	Milo
historical	docs/handoff-archive.md	2959	admin@radlor.com
historical	docs/handoff-archive.md	3054	Milo
historical	docs/handoff-archive.md	3187	Milo
historical	docs/handoff-archive.md	3279	facebook.radlor.com
historical	docs/handoff-archive.md	3279	instagram.radlor.com
historical	docs/handoff-archive.md	3279	x.radlor.com
historical	docs/handoff-archive.md	3280	linkedin.radlor.com
historical	docs/handoff-archive.md	3283	facebook.radlor.com
historical	docs/handoff-archive.md	3312	radlor.com
historical	docs/handoff-archive.md	3320	Milo
historical	docs/handoff-archive.md	3320	AdaptiveLearn
historical	docs/handoff-archive.md	3337	radlor.com
historical	docs/handoff-archive.md	3339	radlor.com
historical	docs/handoff-archive.md	3348	facebook.radlor.com
historical	docs/handoff-archive.md	3351	support@radlor.com
historical	docs/handoff-archive.md	3353	radlor.com
historical	docs/handoff-archive.md	3383	radlor.com
historical	docs/handoff-archive.md	3390	https://radlor.com/#organization
historical	docs/handoff-archive.md	3406	radlor.com
historical	docs/handoff-archive.md	3407	adaptivelearn.radlor.com
historical	docs/handoff-archive.md	3437	admin@radlor.com
historical	docs/handoff-archive.md	3443	support@radlor.com
historical	docs/handoff-archive.md	3444	admin@radlor.com
historical	docs/handoff-archive.md	3448	support@radlor.com
historical	docs/handoff-archive.md	3471	radlor.com
historical	docs/handoff-archive.md	3475	support@radlor.com
historical	docs/handoff-archive.md	3519	Milo
historical	docs/handoff-archive.md	3549	AdaptiveLearn
historical	docs/handoff-archive.md	3550	adaptive learning
historical	docs/handoff-archive.md	3553	https://adaptivelearn.radlor.com/#app
historical	docs/handoff-archive.md	3554	https://radlor.com/#organization
historical	docs/handoff-archive.md	3554	radlor.com
historical	docs/handoff-archive.md	3556	radlor.com
historical	docs/handoff-archive.md	3571	MILO
historical	docs/handoff-archive.md	3571	Milo
historical	docs/handoff-archive.md	3571	AdaptiveLearn
historical	docs/handoff-archive.md	3574	Milo
historical	docs/handoff-archive.md	3575	PtMilo
historical	docs/handoff-archive.md	3575	useMiloStore
historical	docs/handoff-archive.md	3575	useMiloSpeaker
historical	docs/handoff-archive.md	3575	MiloErrorBoundary
historical	docs/handoff-archive.md	3579	AdaptiveLearn
historical	docs/handoff-archive.md	3581	MILO
historical	docs/handoff-archive.md	3581	Milo
historical	docs/handoff-archive.md	3582	Milo
historical	docs/handoff-archive.md	3583	mascot
historical	docs/handoff-archive.md	3591	AdaptiveLearn
historical	docs/handoff-archive.md	3597	radlor.com
historical	docs/handoff-archive.md	3601	adaptivelearn.radlor.com
historical	docs/handoff-archive.md	3605	learn.radlor.com
historical	docs/handoff-archive.md	3608	admin@radlor.com
historical	docs/handoff-archive.md	3642	adaptivelearn.radlor.com
historical	docs/handoff-archive.md	3648	https://adaptivelearn.radlor.com
historical	docs/handoff-archive.md	3656	admin@radlor.com
historical	docs/handoff-archive.md	3662	admin@radlor.com
historical	docs/handoff-archive.md	3676	radlor.com
historical	docs/handoff-archive.md	3679	mail.radlor.com
historical	docs/handoff-archive.md	3689	admin@radlor.com
historical	docs/handoff-archive.md	3691	adaptivelearn.radlor.com
historical	docs/handoff-archive.md	3692	https://adaptivelearn.radlor.com
historical	docs/handoff-archive.md	3780	/tmp/milo_pwned
historical	docs/handoff-archive.md	3784	radlor.com
historical	docs/handoff-archive.md	3796	radlor.com
historical	docs/handoff-archive.md	3809	mail.radlor.com
historical	docs/handoff-archive.md	3813	support@radlor.com
historical	docs/handoff-archive.md	3813	radlor.com
