filename,text
fkn1sl.wav,"You could count every cookie."
42irnf.wav,"That works. But it's slow, and it's easy to lose your place."
46qeik.wav,"Is there a faster way? Yes. Look at the plates."
szaja5.wav,"When every group has the same number, you can count a whole group at a time."
o6hdsn.wav,"Look. Each plate is a group."
1jecimc.wav,"There are 4 plates, so there are 4 groups."
vtr56o.wav,"And each plate has 3 cookies. That's 3 in each group."
15w07ii.wav,"Now count one whole plate at a time."
1bjgqvq.wav,"3, 6, 9, 12."
svl521.wav,"So there are 12 cookies."
1ptlwvs.wav,"4 groups of 3 make 12."
a3638p.wav,"We write that as 4 times 3 equals 12."
16ejuxq.wav,"The first number is the groups. The second is how many in each."
rbphfx.wav,"Here's the part people mix up."
1qybw1p.wav,"4 times 3 does not mean add 4 and 3."
sd6ngq.wav,"That gives 7, just one plate and 4 more cookies. 4 times 3 is 4 whole plates of 3."
uwkn3j.wav,"Okay. Your turn."
ec3v6a.wav,"When chairs are jumbled, you have to count every one."
1w3e8j8.wav,"And it's easy to miss some."
lv05wv.wav,"What if they stand in neat rows? Then it's much faster."
sausx3.wav,"When every row has the same number, count the rows, count one row, then multiply."
121j9bo.wav,"Look. Rows go across, from left to right."
9m6cey.wav,"Count them. 1, 2, 3."
1cvbotz.wav,"There are 3 rows."
1e7q79c.wav,"Every row is the same, so you only need to count one."
1tvuhi2.wav,"1, 2, 3, 4, 5."
fdpc57.wav,"Each row has 5 chairs."
1wnyfzg.wav,"Now count one whole row at a time. 5, 10, 15."
1ku5ijp.wav,"3 rows of 5 is 15."
16ep7tp.wav,"We write it as 3 times 5 equals 15."
1lxjcsy.wav,"If one row is missing a chair, it is not 3 times 5 any more."
ev0q42.wav,"Every row must have the same number. Count each row to check."
140lkef.wav,"Turn the tray, and now there are 5 rows of 2."
wku3yy.wav,"It looks different. So did the number of muffins change?"
pw0e8u.wav,"Turning the rows around does not change how many there are, so 2 times 5 and 5 times 2 make the same total."
18yiegx.wav,"First, the tray as it started. 2 rows of 5."
gs7osk.wav,"Count by rows. 5, 10."
iaie7x.wav,"So 2 times 5 equals 10."
1dsl1ga.wav,"Now watch the tray turn."
10mbeiu.wav,"Does any muffin fall off? No. Is any muffin added? No."
r3cu1b.wav,"Every muffin just moves to a new spot."
fezxbe.wav,"Now count the turned tray by rows. 2, 4, 6, 8, 10."
18ya13x.wav,"So 5 times 2 equals 10."
luu4hp.wav,"Same muffins, same total."
c5u38a.wav,"This turn-around trick works for times. It does not work for take away."
184y063.wav,"5 minus 2 leaves 3. But 2 minus 5 does not leave 3, so they are not the same."
xyf0vg.wav,"You could count every sock, one at a time."
13fd5ay.wav,"But socks come in pairs. Is there a faster way? Yes."
6wat4k.wav,"When the groups are the same size, jump by that size, and each jump counts a whole group."
130hxxh.wav,"Look at the number line. Each pair is one jump of 2."
i2uof3.wav,"2, 4, 6, 8, 10, 12."
1ykycgs.wav,"How many jumps did we make? Count them. 6 jumps of 2."
iw1iro.wav,"And we landed on 12."
1nr1tny.wav,"So 6 times 2 equals 12."
4okzg3.wav,"5s work the same way. Each hand is a jump of 5. 5, 10, 15."
s2tni8.wav,"And bundles of ten jump by 10s. 10, 20, 30, 40."
px8adb.wav,"4 hands means 4 jumps. Don't stop at 15."
ojy0kp.wav,"Hold up a finger for each jump. 5, 10, 15, 20."
1faijka.wav,"You already count by 2s, 5s and 10s."
1syq36l.wav,"Counting by 3s is new, so it doesn't come as easily yet."
1cr4p8o.wav,"Can you do it the same way? Yes."
tykp3n.wav,"3s and 4s work just like 2s and 5s, so add the same number every time you jump."
1r9728g.wav,"Each tricycle has 3 wheels, so each is a jump of 3."
1fch2o6.wav,"Three, six, nine, twelve."
cgqsaf.wav,"4 jumps of 3 make 12."
jqeuc0.wav,"A car has 4 wheels. Jump by 4s."
mm1s5d.wav,"Four, eight, twelve."
1hnqkel.wav,"3 jumps of 4 make 12."
mnsm2s.wav,"Now write them down."
sysweq.wav,"4 tricycles have 12 wheels, so 4 times 3 equals 12."
19jaj4u.wav,"3 cars have 12 wheels, so 3 times 4 equals 12."
4b94ig.wav,"Counting by 3s does not mean add 1 each time."
1o7iig2.wav,"That gives 3, 4, 5, 6. Every jump adds a whole group of 3, so it goes 3, 6, 9, 12."
17fp2d8.wav,"What does fair mean here?"
1pdrt2a.wav,"If one friend gets 6 and another gets 2, that isn't fair."
x2e6fd.wav,"Every friend must get the same number."
yif3gs.wav,"Division shares a total into equal groups, and here we know how many groups, so we find how many in each."
1c3xg23.wav,"Give one apple to each friend. That is one round."
arrz9r.wav,"Then go round again. Now each friend has 2."
1vevdtt.wav,"Keep going, round and round, until the basket is empty."
1jgzpzw.wav,"Now count the first friend's apples. One, two, three, four."
1al1dxh.wav,"Each friend has 4 apples, and it is fair."
1swimc5.wav,"12 shared by 3 friends is 4 each."
o9e3sc.wav,"We write 12 divided by 3 equals 4."
1sgmyhu.wav,"The first number is the total, then the friends, then how many each."
81keep.wav,"Don't flip it to 3 divided by 12."
czl7pf.wav,"You are sharing 12 apples, not 3, so the total goes first."
1xotf08.wav,"When we shared apples, we knew how many friends."
e0dzfg.wav,"This time we know how many go in each bag."
11ba2y8.wav,"So what is missing? The number of bags."
psq88s.wav,"Division can also mean, how many groups of this size can we make?"
10s28ym.wav,"Take 3 apples and put them in a bag."
12icht3.wav,"That is one bag. 9 apples are left."
13ib9sm.wav,"Keep making bags of 3."
19qu9do.wav,"Two bags, three bags, four bags."
11ftd8k.wav,"Now no apples are left."
1ytkyiv.wav,"Count the bags. We filled 4 bags."
iwvjbw.wav,"It works, because 4 bags of 3 make 12."
1xuvkr7.wav,"The answer is not the number in each bag."
yoctkr.wav,"We already know that is 3. The question is how many bags, and that is 4."
1wpdfo8.wav,"We know there are 4 rows. We know there are 20 chairs."
15s3qig.wav,"So which number is missing? The number in each row."
z6z690.wav,"Multiplication and division are partners, so a times fact you know can find a missing number."
168uf6q.wav,"Count by 4s until you reach 20."
e781qw.wav,"Four, eight, twelve, sixteen, twenty."
1ntjkns.wav,"That is 5 jumps."
1pts23m.wav,"Put the chairs in 4 rows, 5 in each row."
1bmyoov.wav,"4 rows of 5 make 20. So 4 times 5 equals 20, and the missing number is 5."
kzjx7t.wav,"The same three numbers, 4, 5 and 20, make four facts."
q92v8.wav,"4 times 5 equals 20, and 5 times 4 equals 20."
1xmtuk4.wav,"20 divided by 4 equals 5, and 20 divided by 5 equals 4."
q3h5mn.wav,"When you divide, don't put the 20 last."
ybpfnq.wav,"The biggest number is the total, and it comes first, like 20 divided by 5 equals 4."
15jr1v2.wav,"Look at the long hand. It points right at the 3."
4fcy3s.wav,"So is it 3 minutes? No."
tf9hhe.wav,"The big numbers are for the hours, not the minutes."
gasog3.wav,"The long hand counts by 5s, so each number on the clock is 5 more minutes."
16widl.wav,"Start with the short hand."
qvzgne.wav,"It is just past the 4, but not at the 5 yet."
dvu3c8.wav,"So the hour is 4."
hvegiz.wav,"Now the long hand. Start at the 12 and count by 5s."
2y1sdt.wav,"Five, ten, fifteen."
11s24d4.wav,"We stop at the 3, so that's 15 minutes."
1hzvffe.wav,"So it's hour 4 and 15 minutes."
1go44ct.wav,"We write the hour, then two dots, then the minutes."
1pyfv1n.wav,"So your show starts at 4 15."
ejjnvj.wav,"The long hand on the 3 does not mean 3 minutes."
1qnxrqh.wav,"That would be 4 oh 3. Count by 5s instead, and it's 4 15."
1g4j0ri.wav,"Look at the long hand. It's between the 5 and the 6, not on a number."
1194qyo.wav,"Can counting by 5s get us there? Not on its own."
6ukt4k.wav,"Count by 5s to the last number the long hand passed, then count on by ones for the little marks."
1x9hfms.wav,"First the short hand. It's just past the 3, so the hour is 3."
g7u5l6.wav,"The long hand has passed the 5, so count by 5s to the 5."
88iqzu.wav,"Five, ten, fifteen, twenty, twenty-five."
1mhbzvr.wav,"Each little mark is 1 more minute."
5w9ep8.wav,"From 25, keep going. Twenty-six, twenty-seven."
u7cim6.wav,"That's 27 minutes."
hneozo.wav,"So it's hour 3 and 27 minutes."
zkujqm.wav,"Write the hour, two dots, then the minutes."
1g3x4no.wav,"The bus comes at 3 27."
13ohqom.wav,"Don't stop at the number the long hand passed."
1uiuz4w.wav,"That gives 3 25, and it drops 2 little marks. The time is 3 27."
off9if.wav,"A clock tells you what time it is right now."
1s57o5d.wav,"It doesn't tell you how long something took."
